pl_orbper,pl_rade,disposition,target_encoded
-0.7671422377093177,0.14361931008684956,CANDIDATE,0
-0.08455585939604936,0.14361931008684956,CANDIDATE,0
0.9895847962093698,-1.1850126138412616,CONFIRMED,1
0.9900605501638096,-1.056115486893012,CONFIRMED,1
0.9900605501638096,-1.323824904400915,CONFIRMED,1
2.1281300701995276,-0.2087702350438485,CONFIRMED,1
2.1302945586710536,0.14361931008684956,CONFIRMED,1
2.1281155969617567,-0.1439204346438611,CONFIRMED,1
2.1281299269001437,-0.15383559825526513,CONFIRMED,1
2.1284960568259246,-0.1340052710324575,CONFIRMED,1
2.1281299269001437,0.14361931008684956,CONFIRMED,1
-0.5489003168922256,4.109684754648375,CANDIDATE,0
-0.5488458631263561,0.14361931008684956,CANDIDATE,0
-1.0963410147543047,0.14361931008684956,CANDIDATE,0
0.5691276379145684,-0.1092173620039476,CANDIDATE,0
-0.3371554153144323,-0.4314601793745717,CANDIDATE,0
-1.1172203712330462,-1.2445035955096846,CONFIRMED,1
0.4927787292857162,0.21302545536667608,CONFIRMED,1
0.4924300818847669,-0.15383559825526513,CONFIRMED,1
-0.7914944232302206,-0.2926478888149182,CANDIDATE,0
-0.7914846788721175,0.8773414173307316,CANDIDATE,0
0.38916639637917577,-0.6317464843249287,CANDIDATE,0
0.7835518080725302,0.14361931008684956,CANDIDATE,0
-1.1531180104209078,0.14361931008684956,CANDIDATE,0
-1.0591349690780913,0.14361931008684956,CANDIDATE,0
-0.017491747746116174,0.14361931008684956,CANDIDATE,0
1.7493466655235017,0.5203955273201943,CANDIDATE,0
