pl_orbper,pl_rade,tfopwg_disp,target_encoded
-0.4200241462471538,0.8018121237951442,PC,5
2.952212655463534,-0.09906230338280467,PC,5
2.6677087227327356,-0.03689246449467262,PC,5
0.21798849963616984,2.386038010052856,PC,5
-0.39479058098028236,-1.4651434132026642,PC,5
0.3539793013874314,-1.4457926614397025,PC,5
1.2289170100895022,-0.2015272724752386,CP,1
0.6416015368868949,-1.4677718233693215,FP,3
-1.0088695799362513,-0.1565445738020385,FP,3
-1.2843224279916547,-0.36817784484821575,PC,5
2.6199385035066665,-1.2720795836409498,PC,5
2.9496506478051736,0.6012011074220645,CP,1
0.18109048988464554,-0.8381588104781597,PC,5
-0.0473754081790308,-0.9539791349268603,PC,5
